Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
LR;0.9812008142471313;0.9732707142829895;0.9926117062568665;0.984942615032196;0.9615988731384277;0.9887621998786926;0.03840110823512077;17119.599609375;683.5999755859375;1404.0;91839.3984375;0.16019539535045624;0.0023365020751953125
LR;0.9811970591545105;0.9732720255851746;0.992611289024353;0.9849385023117065;0.9616056680679321;0.9887601137161255;0.03839438408613205;17119.599609375;683.5999755859375;1404.4000244140625;91839.0;0.14717134833335876;0.0022169589065015316
LR;0.9811952710151672;0.9732558131217957;0.9926050901412964;0.9849424362182617;0.9615691304206848;0.9887588620185852;0.03843088075518608;17119.0;684.2000122070312;1404.0;91839.3984375;0.1514873504638672;0.002000570297241211
LR;0.9812042117118835;0.9732540845870972;0.9926007390022278;0.9849576950073242;0.9615507125854492;0.9887644052505493;0.03844934701919556;17118.599609375;684.5999755859375;1402.5999755859375;91840.796875;0.1368161141872406;0.002000570297241211
LR;0.9812114834785461;0.9732945561408997;0.9926179647445679;0.9849492311477661;0.9616397619247437;0.9887686967849731;0.03836018592119217;17120.19921875;683.0;1403.4000244140625;91840.0;0.14547181129455566;0.0029061317909508944
LR;0.9811935424804688;0.9732524752616882;0.9926028251647949;0.984942615032196;0.96156245470047;0.9887577891349792;0.038437627255916595;17118.80078125;684.4000244140625;1404.0;91839.3984375;0.13711753487586975;0.0014166354667395353
LR;0.9811989068984985;0.9732696413993835;0.9926092028617859;0.9849427938461304;0.961596667766571;0.9887610673904419;0.03840336948633194;17119.400390625;683.7999877929688;1404.0;91839.3984375;0.14130397140979767;0.0020457268692553043
LR;0.9812114834785461;0.9733064770698547;0.9926244020462036;0.9849425554275513;0.9616702795028687;0.988768458366394;0.03832969069480896;17120.80078125;682.4000244140625;1404.0;91839.3984375;0.14401455223560333;0.002212572144344449
LR;0.9812043309211731;0.9732920527458191;0.9926177263259888;0.9849405288696289;0.9616435170173645;0.9887641668319702;0.0383564755320549;17120.19921875;683.0;1404.199951171875;91839.203125;0.14729318022727966;0.0018006801838055253
LR;0.9812006950378418;0.9732745289802551;0.9926115274429321;0.984942615032196;0.961606502532959;0.9887621998786926;0.03839346766471863;17119.599609375;683.5999755859375;1404.0;91839.3984375;0.2367069274187088;0.0029498576186597347
